[2023.09.13 11:20:30.814] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.13 11:20:36.017] [HTTP] / (Method: GET, IP: ::1)
[2023.09.13 11:20:36.122] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.13 11:20:36.123] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.13 11:20:36.124] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.13 11:20:36.166] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.13 11:20:36.293] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.13 11:20:36.295] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.13 11:20:36.297] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.13 11:20:36.466] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.13 11:20:36.488] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.13 11:20:36.491] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.13 11:20:36.492] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.13 11:20:36.493] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.13 11:20:36.494] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.13 11:20:36.496] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.13 11:20:36.499] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.13 11:20:36.547] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.09.13 11:20:36.550] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\sw1\Desktop\project_setting_manual-front-end_v1.1\favicon.ico'/n
[2023.09.13 11:35:09.866] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.13 11:35:09.894] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.13 11:35:09.896] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.13 11:35:09.897] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.13 11:35:09.897] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.13 11:35:09.898] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.13 11:35:09.903] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.13 11:35:09.907] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.13 11:35:13.384] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.13 11:35:13.385] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.13 11:40:05.398] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.13 11:40:10.302] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.13 11:40:10.318] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.13 11:40:10.320] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.13 11:40:10.325] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.13 11:40:10.326] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.13 11:40:10.387] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.388] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.391] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.393] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.394] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.395] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.396] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.13 11:40:10.399] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.13 11:40:11.147] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.13 11:40:11.163] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.13 11:40:11.164] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.13 11:40:11.166] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.13 11:40:11.167] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.13 11:40:11.232] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.234] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.235] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.236] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.237] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.239] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.242] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.13 11:40:11.244] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.13 11:40:12.696] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.13 11:40:12.697] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.13 11:40:12.698] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.13 11:40:12.699] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.13 11:40:12.702] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.13 11:40:12.704] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
