[2023.09.15 09:03:27.730] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.15 09:04:14.892] [HTTP] / (Method: GET, IP: ::1)
[2023.09.15 09:04:14.913] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.15 09:04:14.915] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.15 09:04:14.917] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.15 09:04:14.931] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.15 09:04:14.979] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.15 09:04:14.981] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.15 09:04:14.983] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.15 09:04:14.984] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.15 09:04:14.985] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.15 09:04:14.986] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.15 09:04:14.993] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.15 09:04:14.995] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.15 09:04:14.997] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.15 09:04:15.003] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.15 09:04:15.006] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.15 09:04:15.120] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.09.15 09:04:15.129] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\sw1\Desktop\project_setting_manual-front-end_v1.1\favicon.ico'/n
[2023.09.15 09:04:19.215] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.15 09:04:19.235] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.236] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.237] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.237] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.238] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.245] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.246] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.424] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.426] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.427] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.428] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.429] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:04:19.431] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:04:58.401] [HTTP] /menuInsert.zz (Method: POST, IP: ::1)
[2023.09.15 09:05:00.023] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.15 09:05:02.598] [HTTP] /menuDelete.zz?product_index=8 (Method: POST, IP: ::1)
[2023.09.15 09:09:07.210] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.15 09:09:07.213] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.15 09:09:07.234] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.15 09:09:07.235] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.15 09:09:07.236] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.15 09:09:07.237] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.15 09:09:07.310] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.312] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.315] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.317] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.317] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.318] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.319] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.323] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.15 09:09:07.358] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.359] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.360] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.360] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.361] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:07.362] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.377] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.15 09:09:08.391] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.15 09:09:08.392] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.15 09:09:08.393] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.15 09:09:08.393] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.15 09:09:08.455] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.456] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.460] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.461] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.462] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.462] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.463] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.465] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.15 09:09:08.500] [HTTP] /client/resources/img/americano_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.501] [HTTP] /client/resources/img/cafe_latte_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.502] [HTTP] /client/resources/img/ade_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.502] [HTTP] /client/resources/img/smoothie_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.503] [HTTP] /client/resources/img/frappuccino_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:08.504] [HTTP] /client/resources/img/coke_icon.png (Method: GET, IP: ::1)
[2023.09.15 09:09:25.603] [HTTP] /menuInsert.zz (Method: POST, IP: ::1)
[2023.09.15 09:09:26.579] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.15 09:09:33.460] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.15 09:09:33.469] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
